time,open,high,low,close,volume
1358380800000,44500,44500,44500,44500,24
1357862400000,44205,44205,44205,44205,11
1357603200000,44200,44200,44200,44200,20
1357257600000,44200,44200,44200,44200,43
1356652800000,44000,44000,44000,44000,194
1356566400000,44000,44000,44000,44000,2
1356480000000,44000,44000,44000,44000,6
1356048000000,44000,44000,44000,44000,51
1355961600000,44000,44000,44000,44000,1
1355875200000,44000,44000,44000,44000,4
1355788800000,44000,44000,44000,44000,45
1355702400000,47300,47300,47300,47300,30
1355184000000,44000,44000,44000,44000,4
1355097600000,44000,44000,44000,44000,50
1354752000000,44000,44000,44000,44000,7
1354665600000,44000,44000,44000,44000,5
1354492800000,44000,44000,44000,44000,10
1354233600000,44000,44000,44000,44000,25
1354060800000,44000,44000,44000,44000,41
1353888000000,44005,44005,44005,44005,33
1353542400000,44005,44005,44005,44005,6
1353369600000,44005,44005,44005,44005,3
1353024000000,44005,44005,44005,44005,45
1352851200000,44000,44000,44000,44000,19
1352764800000,44000,44000,44000,44000,5
1352332800000,44000,44000,44000,44000,12
1352246400000,44000,44000,44000,44000,64
1352073600000,44000,44000,44000,44000,44
1351641600000,44000,44000,44000,44000,19
1351123200000,44000,44000,44000,44000,38
1350950400000,44000,44000,44000,44000,8
1350864000000,44000,44000,44000,44000,40
1350604800000,44000,44000,44000,44000,15
1350432000000,44000,44000,44000,44000,24
1350259200000,44000,44000,44000,44000,219
1349827200000,44000,44000,44000,44000,5
1349654400000,44000,44000,44000,44000,127
1349308800000,44000,44000,44000,44000,33
1349049600000,44000,44000,44000,44000,1
1348704000000,44000,44000,44000,44000,20
1348531200000,44000,44000,44000,44000,20
1348099200000,44000,44000,44000,44000,50
1348012800000,44000,44000,44000,44000,62
1347840000000,44000,44000,44000,44000,47
1347321600000,44000,44000,44000,44000,83
1347235200000,44000,44000,44000,44000,127
1346803200000,44000,44000,44000,44000,19
1346716800000,44000,44000,44000,44000,24
1346630400000,44000,44000,44000,44000,37
1346284800000,44000,44000,44000,44000,95
1346198400000,44000,44000,44000,44000,37
1345766400000,44000,44000,44000,44000,59
1345161600000,44000,44000,44000,44000,21
1345075200000,40955,40955,40955,40955,10
1344816000000,38100,38100,38100,38100,8
1343952000000,38000,38000,38000,38000,10
1343606400000,37500,37500,37500,37500,2
1343347200000,37500,37500,37500,37500,10
1343174400000,37500,37500,37500,37500,26
1343088000000,37500,37500,37500,37500,4
1343001600000,37500,37500,37500,37500,16
1342742400000,37005,37005,37005,37005,3
1342656000000,37005,37005,37005,37005,33
1342483200000,37005,37005,37005,37005,45
1341878400000,37000,37000,37000,37000,2
1341792000000,37000,37000,37000,37000,7
1341187200000,37000,37000,37000,37000,26
1340841600000,37005,37005,37005,37005,13
1340582400000,37000,37000,37000,37000,8
1340064000000,37000,37000,37000,37000,21
1339977600000,37200,37200,37200,37200,10
1339632000000,37010,37010,37010,37010,172
1339459200000,37000,37000,37000,37000,4
1339372800000,37000,37000,37000,37000,11
1339027200000,36900,36900,36900,36900,25
1338854400000,36600,36600,36600,36600,3
1338768000000,36600,36600,36600,36600,20
1338508800000,36600,36600,36600,36600,6
1338422400000,36600,36600,36600,36600,9
1337731200000,36250,36250,36250,36250,29
1337644800000,36250,36250,36250,36250,30
1337558400000,36125,36125,36125,36125,205
1337299200000,36120,36120,36120,36120,20
1337126400000,36120,36120,36120,36120,16
1337040000000,36115,36115,36115,36115,50
1336694400000,36100,36100,36100,36100,43
1336608000000,36100,36100,36100,36100,44
1336521600000,36100,36100,36100,36100,22
1336348800000,36000,36000,36000,36000,62
1336003200000,35000,35000,35000,35000,323
1335916800000,36000,36000,36000,36000,66
1335744000000,36000,36000,36000,36000,35
1335312000000,36010,36010,36010,36010,5
1335225600000,36010,36010,36010,36010,25
1334620800000,36000,36000,36000,36000,3
1334534400000,36000,36000,36000,36000,46
1334102400000,36000,36000,36000,36000,7
1333670400000,36000,36000,36000,36000,4
1333324800000,36000,36000,36000,36000,2
1333065600000,36000,36000,36000,36000,5
1332892800000,36000,36000,36000,36000,13
1332806400000,36000,36000,36000,36000,11
1332720000000,36010,36010,36010,36010,39
1332374400000,36000,36000,36000,36000,6
1332288000000,36000,36000,36000,36000,6
1332201600000,36000,36000,36000,36000,30
1331769600000,36010,36010,36010,36010,79
1331683200000,36000,36000,36000,36000,41
1331164800000,36000,36000,36000,36000,121
1331078400000,36000,36000,36000,36000,9
1330560000000,35600,35600,35600,35600,12
1330473600000,35000,35000,35000,35000,6
1330387200000,35000,35000,35000,35000,83
1329955200000,34920,34920,34920,34920,44
1329868800000,34915,34915,34915,34915,29
1329782400000,34915,34915,34915,34915,50
1329696000000,34800,34800,34800,34800,485
1329436800000,35000,35000,35000,35000,16
1329264000000,35000,35000,35000,35000,25
1328832000000,35000,35000,35000,35000,103
1328745600000,35000,35000,35000,35000,2
1328659200000,35000,35000,35000,35000,89
1328486400000,35000,35000,35000,35000,28
1328140800000,35000,35000,35000,35000,214
1328054400000,35000,35000,35000,35000,3
1327968000000,35000,35000,35000,35000,29
1327536000000,35000,35000,35000,35000,10
1327449600000,35000,35000,35000,35000,8
1327363200000,35000,35000,35000,35000,10
1327276800000,35000,35000,35000,35000,12
1326326400000,33000,33000,33000,33000,2115
1326240000000,33000,33000,33000,33000,64
1325808000000,32900,32900,32900,32900,20
1325721600000,32000,32000,32000,32000,59
1325635200000,33000,33000,33000,33000,45
1325548800000,32995,32995,32995,32995,47
1325116800000,32800,32800,32800,32800,65
